GW-Nummer;Messstelle;Datum;Abstich [cm];LF [µS/cm];pH [ -];O2 [mg/l];O2-Sätt [%];Q [l/s];T [°C];F [mg/l];Mg [mg/l];PO4 [mg/l];NH4 [mg/l];Ca [mg/l];Cl [mg/l];DOC [mg/l];Fe [mg/l];Mn [mg/l];Na [mg/l];NO3 [mg/l];P, ges [mg/l];KS 4,3 [mmol/l];KS 8,2 [mmol/l];SO4 [mg/l];GH [mmol/l];Tr.quant [FNU];K [mg/l]
0244/307-5;BBR 5 Südzucker AG (ehemalig), Waghäusel;10.11.2011 16:20;315;699;7.14;;;;12.1;0.16;18.6;;0.76;127.7;33.8;1.9;0.955;0.98;17.8;;;5.4;;124;3.95;;5
0244/307-5;BBR 5 Südzucker AG (ehemalig), Waghäusel;14.03.2012 08:04;305;725;7.15;1.1;10;;11.3;;;;0.69;;;;;;;;;;;;;;
0244/307-5;BBR 5 Südzucker AG (ehemalig), Waghäusel;11.09.2012 17:00;328;739;7.3;;1;;12.1;;17.8;;0.74;131;32.6;;;;18;;0.024;5.4;;108;4;;4.5
0244/307-5;BBR 5 Südzucker AG (ehemalig), Waghäusel;21.03.2013 14:03;300;752;7.17;1.5;14;;11.4;;;;0.67;;;;;;;;;;;;;;
0244/307-5;BBR 5 Südzucker AG (ehemalig), Waghäusel;09.09.2013 11:57;286;767;7.32;;;;12.3;;19;;0.79;137;34;;;;20;;;5.56;;150;4.2;;5.9
0244/307-5;BBR 5 Südzucker AG (ehemalig), Waghäusel;12.03.2014 12:30;290;754;7.5;1.3;12;;11.9;0.12;17.7;;0.68;130.6;35.4;1.9;1;0.94;18.4;;;4.9;;133;3.99;;6.1
0244/307-5;BBR 5 Südzucker AG (ehemalig), Waghäusel;02.09.2014 12:45;297;729;7.26;;;;12.3;;17.7;0.18;0.69;128;35;;;;19.2;;;5.43;;127;3.92;;5.1
0244/307-5;BBR 5 Südzucker AG (ehemalig), Waghäusel;17.03.2015 09:50;280;737;7.13;2.6;24;;12;;;;0.63;;;;;;;;;;;;;;
0244/307-5;BBR 5 Südzucker AG (ehemalig), Waghäusel;11.03.2016 10:45;284;751;7.35;;;;;;;;0.55;;;;;;;;;;;;;;
0244/307-5;BBR 5 Südzucker AG (ehemalig), Waghäusel;07.09.2016 12:40;285;802;7.3;;;;12.4;;18.8;0.39;0.73;138;36;;;;21;;;5.4;;147;4.22;;7.53
0244/307-5;BBR 5 Südzucker AG (ehemalig), Waghäusel;01.03.2017 11:15;294;776;7.3;;;;11.8;;;;0.63;;;;;;;;;;;;;;
0244/307-5;BBR 5 Südzucker AG (ehemalig), Waghäusel;22.09.2017 11:10;309;756;7.38;;;;12.6;;;;0.63;;;;;;;;;;;;;;
0244/307-5;BBR 5 Südzucker AG (ehemalig), Waghäusel;05.03.2018 12:10;279;735;7.25;;;;12.3;;;;0.57;;;;;;;;;;;;;;
0244/307-5;BBR 5 Südzucker AG (ehemalig), Waghäusel;12.09.2018 09:40;311;710;7.26;;;;13;;;;0.64;;;;;;;;;;;;;;
0244/307-5;BBR 5 Südzucker AG (ehemalig), Waghäusel;11.12.2018 12:30;314;709;7.24;0.5;5;;12.6;0.11;17.4;0.033;0.61;122.6;40.4;1.7;1;0.99;20.1;;;5.1;;125;3.77;;5.5
0244/307-5;BBR 5 Südzucker AG (ehemalig), Waghäusel;06.03.2019 09:55;313;746;7.27;0.9;8.5;;12.6;;;;0.58;;;;;;;;;;;;;;
0244/307-5;BBR 5 Südzucker AG (ehemalig), Waghäusel;12.09.2019 12:50;328;766;7.3;;;;13.7;;;;0.67;;;;;;;;;;;;;;
0956/307-7;BR Beregnung Sportgelände, Reilingen;12.01.2006 08:35;498;675;7.35;4.8;45;;11.7;;;;;;;;;;;72.3;;;;;;;
0956/307-7;BR Beregnung Sportgelände, Reilingen;29.03.2006 09:40;;682;7.38;5.6;51;;11;;;;;;;;;;;75;;;;;;;
0956/307-7;BR Beregnung Sportgelände, Reilingen;18.05.2006 09:45;505;713;7.41;6.2;58;;11.2;;;;;;;;;;;69.6;;;;;;;
0956/307-7;BR Beregnung Sportgelände, Reilingen;26.07.2006 09:40;;721;7.33;4.4;41;;12.6;;;;;;;;;;;62.3;;;;;;;
0956/307-7;BR Beregnung Sportgelände, Reilingen;04.09.2006 08:00;;724;7.2;1.8;17;;12.6;;;;;;;;;;;71;;;;;;;
0956/307-7;BR Beregnung Sportgelände, Reilingen;03.11.2006 08:00;;734;7.21;1.6;16;;12.4;;;;;;;;;;;74;;;;;;;
0956/307-7;BR Beregnung Sportgelände, Reilingen;15.08.2007 11:45;;753;7.27;7.1;69;;12.8;0.07;13.4;;;144;44.8;0.83;;;16.6;70.6;;5.06;;91.6;4.14;0.27;2.42
0956/307-7;BR Beregnung Sportgelände, Reilingen;13.09.2007 09:50;;791;7.29;4.7;46;;14.1;;13.5;;;141;46.1;;;;16.1;68.4;0.01;4.89;;91.5;4.07;;2.48
0956/307-7;BR Beregnung Sportgelände, Reilingen;10.03.2008 12:20;493;781;;4;38.3;;11.7;;;;;;;;;;;77;;;;;;;
0956/307-7;BR Beregnung Sportgelände, Reilingen;17.09.2008 09:15;;797;7.24;4.3;41;;12.7;;17.5;;;140;48.9;;;;21.1;62.3;;5;;98.4;4.22;;2.2
0956/307-7;BR Beregnung Sportgelände, Reilingen;18.03.2009 13:35;492;810;7.23;4.1;41;;11.8;;;;;;;;;;;78.4;;;;;;;
0956/307-7;BR Beregnung Sportgelände, Reilingen;16.09.2009 11:44;;765;7.28;3.6;35;;13.1;;13.5;;;146;39.2;;;;15.9;57.1;;4.86;;98.2;4.19;;2.68
0956/307-7;BR Beregnung Sportgelände, Reilingen;11.03.2010 11:20;490;737;7.27;5;47;;11.5;0.05;14.3;;;135.3;42.7;1;;;21;71.7;;5.1;;80;3.96;1.1;2.1
0956/307-7;BR Beregnung Sportgelände, Reilingen;23.09.2010 11:45;;747;7.34;5.4;52;;12.8;;14.5;;;126;37;;;;22.4;74.1;;4.81;;88;3.74;;2.77
0956/307-7;BR Beregnung Sportgelände, Reilingen;29.03.2011 15:42;438;756;7.25;5.8;54;;11.8;;;;0.01;;;;;;;77.5;;;;;;;
0956/307-7;BR Beregnung Sportgelände, Reilingen;05.09.2011 10:40;;714;7.25;5.4;51;;12.7;;13.1;;;132;34.6;;;;18.7;68.5;0.014;4.7;;90.5;3.83;;2.7
0956/307-7;BR Beregnung Sportgelände, Reilingen;14.03.2012 11:55;500;749;7.36;6.1;56;;11.6;;;;;;;;;;;83.3;;;;;;;
0956/307-7;BR Beregnung Sportgelände, Reilingen;06.09.2012 12:05;503;731;7.32;;;;11.9;;16.5;;0.01;145;34.8;;;;17.5;73.2;;4.39;;121;4.3;;1.58
0956/307-7;BR Beregnung Sportgelände, Reilingen;25.03.2013 13:35;490;760;7.19;5;50;;10.6;;;;;;;;;;;87.7;;;;;;;
0956/307-7;BR Beregnung Sportgelände, Reilingen;09.09.2013 09:55;;764;7.34;4.8;46;;13.1;;15;;;140;41;;;;16;74.9;;4.69;;100;4.1;;2.6
0956/307-7;BR Beregnung Sportgelände, Reilingen;26.11.2013 12:00;452;756;7.28;2.9;26;;12.1;0.06;13.1;;;126.3;42.5;1.2;;;18;80.6;;5;;;3.69;;2.2
0956/307-7;BR Beregnung Sportgelände, Reilingen;26.03.2014 10:55;440;839;7.36;4.3;40;;11.3;;;;;;;;;;;80;;;;;;;
0956/307-7;BR Beregnung Sportgelände, Reilingen;16.09.2014 11:25;561;;7.2;4.8;48;;14.2;;14.9;0.01;;141;48;;;;27;71.7;;5.45;;68;4.13;;
0956/307-7;BR Beregnung Sportgelände, Reilingen;12.03.2015 12:57;448;761;7.28;4.9;45;;11.8;;;;;;;;;;;78.3;;;;;;;
0956/307-7;BR Beregnung Sportgelände, Reilingen;17.09.2015 13:30;486;772;7.27;3.2;31;;13.3;;14.2;0.01;;131;34;;;;20.9;78.6;;4.5;;89;3.85;;2.94
0956/307-7;BR Beregnung Sportgelände, Reilingen;22.03.2016 08:20;485;750;7.29;5.6;52;;11.8;;;;0.02;;;;;;;94;;;;;;;
0956/307-7;BR Beregnung Sportgelände, Reilingen;06.09.2016 11:47;521;758;7.13;7.7;76;;15.1;;12;;0.02;130;26;;;;20;88;;5.21;;71;3.74;;6.8
0956/307-7;BR Beregnung Sportgelände, Reilingen;09.03.2017 11:45;481;726;7.2;5.8;54;;12;;;;;;;;;;;80;;;;;;;
0956/307-7;BR Beregnung Sportgelände, Reilingen;06.09.2017 09:20;592;733;7.3;5.4;49;;13.9;;;;;;;;;;;66;;;;;;;
0956/307-7;BR Beregnung Sportgelände, Reilingen;12.03.2018 11:40;461;732;7.31;6.8;65;;12;;;;;;;;;;;72;;;;;;;
0956/307-7;BR Beregnung Sportgelände, Reilingen;17.05.2018 10:50;465;719;7.32;5;47;;11.9;0.07;14;;;147.4;25.6;1.2;;;16.1;71.4;;5.1;;78;4.25;;3
0956/307-7;BR Beregnung Sportgelände, Reilingen;30.08.2018 08:20;500;724;7.35;1.5;15;;12.6;;;;;;;;;;;49;;;;;;;
0956/307-7;BR Beregnung Sportgelände, Reilingen;13.03.2019 12:10;512;713;7.38;5;48;;12.4;;;;;;;;;;;71.2;;;;;;;
0956/307-7;BR Beregnung Sportgelände, Reilingen;04.09.2019 00:00;;697;7.38;4.8;47;;13.6;;;;;;;;;;;74;;;;;;;
0353/259-2;BR Fernheizwerk, KA-West;10.10.2006 09:00;;864;6.95;1.9;19;;15.4;;;;;;;;;;;11.6;;;;;;;
0353/259-2;BR Fernheizwerk, KA-West;06.02.2007 11:05;;855;7.08;1.6;16;;15.3;0.05;16.3;;;152;42.4;1.73;;0.10;26.3;13.2;0.008;6.62;;115;4.47;0.13;12.6
0353/259-2;BR Fernheizwerk, KA-West;10.09.2009 08:15;;837;7;;;;14.5;;;;;;;;;;;8.1;;;;;;;
0353/259-2;BR Fernheizwerk, KA-West;24.03.2010 10:00;;864;6.96;;;;13.3;;;;;;;;;;;8;;;;;;;
0353/259-2;BR Fernheizwerk, KA-West;07.07.2010 08:55;;829;6.91;0.2;2;;13.1;0.07;16.6;;;149.5;;1.7;0.124;0.83;28;6.2;0.005;6.9;;124;4.41;1.09;13.1
0353/259-2;BR Fernheizwerk, KA-West;20.09.2011 14:45;;853;7.04;1.8;18;;14.5;;;;;;;;;;;7.5;;;;;;;
0353/259-2;BR Fernheizwerk, KA-West;18.09.2012 15:30;;893;;0.8;8;;14.5;;;;0.01;;;;;;;8.9;;;;;;;
0353/259-2;BR Fernheizwerk, KA-West;16.09.2013 14:05;;798;7.18;;;;15.5;;16.7;;;150;55;;;;29.9;6.7;;6.62;;113;4.43;;12.3
0353/259-2;BR Fernheizwerk, KA-West;08.09.2014 14:30;;879;7.09;2.5;26;;15.1;;;;0.01;;;;;;;5.7;;;;;;;
0353/259-2;BR Fernheizwerk, KA-West;11.11.2014 14:07;;837;7;1;10;;13.3;0.05;16.9;;;146.1;53.7;1.6;;0.35;30.9;6.4;;6.7;;110;4.34;;12.9
0353/259-2;BR Fernheizwerk, KA-West;09.09.2015 13:15;;860;7.1;4.4;44;;14.9;;;;;;;;;;;9.5;;;;;;;
0353/259-2;BR Fernheizwerk, KA-West;13.09.2016 11:15;;847;7.01;0.2;2;;14.7;;;;;;;;;;;7.4;;;;;;;
0353/259-2;BR Fernheizwerk, KA-West;26.09.2017 12:05;;857;7;0.7;7;;14;;;;;;;;;;;6.3;;;;;;;
0353/259-2;BR Fernheizwerk, KA-West;05.09.2018 09:45;;904;7.01;0.8;8;;14.3;;16.4;;;152;64.5;;;;32.7;7.4;;6.4;;120;4.47;;12.3
0353/259-2;BR Fernheizwerk, KA-West;13.11.2018 12:35;;849;6.91;0.3;3;;13.8;0.06;17.3;;;;60.2;1.8;;0.17;34;9.3;;6.4;;110;;;13.3
0353/259-2;BR Fernheizwerk, KA-West;12.09.2019 11:42;;889;7.15;6.4;63.2;;15.5;;;;;;;;;;;9.3;;;;;;;
0341/260-4;BR Freibad, KA-Rüppurr;07.02.2007 08:22;;553;7.32;0.3;3;;12.5;0.06;9.7;0.02;;106;23.2;0.99;;0.03;10.6;24.9;0.006;4.85;;30.6;3.04;0.18;4.27
0341/260-4;BR Freibad, KA-Rüppurr;01.09.2009 12:00;;557;7.22;0.5;5;;12.7;;;;;;;;;;;20.4;;;;;;;
0341/260-4;BR Freibad, KA-Rüppurr;01.07.2010 08:05;;593;7.08;0.2;2;;11.8;0.08;11.2;;;113.4;29;1.1;;0.02;12;27;0.005;5.6;;38;3.29;0.25;4.7
0341/260-4;BR Freibad, KA-Rüppurr;09.09.2011 08:50;;622;7.16;0.2;2;;12.6;;12;;;117;28.4;;;;13;25;;5.77;;33.5;3.41;;5.1
0341/260-4;BR Freibad, KA-Rüppurr;10.09.2013 08:35;;;7.36;;;;12.4;;9.3;;;95;23.8;;;;11.8;16.4;;4.69;;26.6;2.75;;4.3
0341/260-4;BR Freibad, KA-Rüppurr;04.11.2014 11:49;;579;7.16;0.1;1;;13.3;0.06;10.5;;;105.9;23.1;1.3;;0.05;12.4;22.3;;5.6;;26;3.07;;4.6
0341/260-4;BR Freibad, KA-Rüppurr;21.09.2016 12:10;;660;7;0.1;1;;12.9;;;;;;;;;;;23;;;;;;;
0341/260-4;BR Freibad, KA-Rüppurr;04.09.2018 07:20;;649;6.98;0.9;9;;13.1;;10.6;;;113;31.5;;;;12.5;19.8;;6.35;;33;3.26;;3.8
7902/259-6;BR Gärtnerei HWK gGmbH, KA-Grötzingen;05.09.2006 12:30;;689;7.05;7.3;73;;15.2;;;;;;;;;;;31.4;;;;;;;
7902/259-6;BR Gärtnerei HWK gGmbH, KA-Grötzingen;14.08.2007 10:35;;676;7.05;7.6;74;;14.1;0.12;21.8;0.066;;119;26.2;0.41;;;11.3;31.7;0.019;6.5;;37.4;3.86;0.18;3.66
7902/259-6;BR Gärtnerei HWK gGmbH, KA-Grötzingen;19.09.2007 12:50;;699;7.11;6.8;66;;13.4;;;;;;;;;;;32.8;;;;;;;
7902/259-6;BR Gärtnerei HWK gGmbH, KA-Grötzingen;11.09.2008 10:00;;690;7.04;6;59;;14.4;;;;;;;;;;;30.7;;;;;;;
7902/259-6;BR Gärtnerei HWK gGmbH, KA-Grötzingen;07.10.2008 16:00;;689;7.09;6;61;;15;;;;;;;;;;;;;;;;;;
7902/259-6;BR Gärtnerei HWK gGmbH, KA-Grötzingen;15.09.2009 15:15;;690;7.02;6.9;66;;13;;24.3;0.044;;116;26.3;;;;10.1;30;0.016;6.45;;34.3;3.9;;3.5
7902/259-6;BR Gärtnerei HWK gGmbH, KA-Grötzingen;14.10.2009 08:00;;674;7.13;;;;12.5;;;;;;;;;;;;;;;;;;
7902/259-6;BR Gärtnerei HWK gGmbH, KA-Grötzingen;20.09.2010 09:45;;686;7.14;7;67;;12.6;;;;;;;;;;;30.6;;;;;;;
7902/259-6;BR Gärtnerei HWK gGmbH, KA-Grötzingen;16.11.2010 14:00;;680;7.13;7.1;66;;12.1;0.13;22.1;0.061;;119;25.8;0.7;0.011;;10.2;33.7;0.018;6.4;;39;3.88;0.11;3.2
7902/259-6;BR Gärtnerei HWK gGmbH, KA-Grötzingen;19.09.2011 09:30;;682;7.04;6.2;60;;12.7;;;;;;;;;;;32.3;;;;;;;
7902/259-6;BR Gärtnerei HWK gGmbH, KA-Grötzingen;17.09.2012 09:00;;708;7.18;6.5;67;;15.6;;;;0.01;;;;;;;32.6;;;;;;;
7902/259-6;BR Gärtnerei HWK gGmbH, KA-Grötzingen;05.09.2013 14:15;;715;6.98;6.5;66;;14.9;;;;0.03;;;;;;;35.9;;;;;;;
7902/259-6;BR Gärtnerei HWK gGmbH, KA-Grötzingen;10.03.2014 12:45;;715;7.12;6.1;58;;12.6;0.12;21.4;0.052;;120.7;33.1;0.4;;;12.3;34.5;;6.4;;44;3.89;;3.3
7902/259-6;BR Gärtnerei HWK gGmbH, KA-Grötzingen;09.09.2014 12:15;;714;7.22;6.1;60;;14.6;;;;0.01;;;;;;;31.5;;;;;;;
7902/259-6;BR Gärtnerei HWK gGmbH, KA-Grötzingen;07.09.2015 16:30;;721;7.11;6.2;61;;14.5;;;;;;;;;;;33.2;;;;;;;
7902/259-6;BR Gärtnerei HWK gGmbH, KA-Grötzingen;21.09.2016 14:00;;744;7;6.1;60;;14.2;;;;;;;;;;;35;;;;;;;
7902/259-6;BR Gärtnerei HWK gGmbH, KA-Grötzingen;04.09.2017 11:25;;719;7.05;6.4;64;;14.4;;;;;;;;;;;35;;;;;;;
7902/259-6;BR Gärtnerei HWK gGmbH, KA-Grötzingen;14.09.2018 11:50;;734;7.13;6.2;61;;14.8;;;;;;;;;;;31.2;;;;;;;
7902/259-6;BR Gärtnerei HWK gGmbH, KA-Grötzingen;15.11.2018 11:30;;664;7.01;6;57;;12.6;0.11;22.7;0.054;;122.9;33.1;0.7;;;15;28.8;;6.3;;35;4;;3.8
7902/259-6;BR Gärtnerei HWK gGmbH, KA-Grötzingen;12.09.2019 07:55;;769;7.15;7.1;71.6;;15.8;;;;;;;;;;;30.8;;;;;;;
0990/259-5;BR NB 18 Kaiserallee, KA;12.10.2006 10:50;813;640;7.18;0.9;9;;13.8;;;;;;;;;;;4.9;;;;;;;
0990/259-5;BR NB 18 Kaiserallee, KA;10.09.2007 14:30;790;;7.27;1.4;14;;13.9;;;;0.01;;;;;;;4.9;;;;;;;
0990/259-5;BR NB 18 Kaiserallee, KA;03.09.2008 13:40;800;667;7.28;1.4;14;;14.4;;;;;;;;;;;5.1;;;;;;;
0990/259-5;BR NB 18 Kaiserallee, KA;23.06.2009 11:23;783;687;7.16;0.2;2;;13.9;0.07;12.8;;;119.4;30.9;0.7;;0.18;21;4.4;0.005;5.3;;90;3.51;0.6;7.3
0990/259-5;BR NB 18 Kaiserallee, KA;02.09.2009 12:40;793;691;7.24;;;;13.9;;13;0.01;;119;30.8;;;;22;4.3;0.003;5.48;;89.9;3.5;;7
0990/259-5;BR NB 18 Kaiserallee, KA;16.03.2010 11:45;785;662;7.16;;;;13.9;;;;;;;;;;;4;;;;;;;
0990/259-5;BR NB 18 Kaiserallee, KA;20.09.2010 13:30;795;686;7.26;2.5;25;;14.4;;;;;;;;;;;4.4;;;;;;;
0990/259-5;BR NB 18 Kaiserallee, KA;12.09.2011 11:40;795;709;7.27;;10;;14.6;0.07;13.4;;0.01;118.9;37;1;;0.18;22.1;4.4;;5.6;;85;3.52;;7.4
0990/259-5;BR NB 18 Kaiserallee, KA;03.09.2012 12:19;803;676;7.31;0.3;;;14.1;;;;;;;;;;;3.7;;;;;;;
0990/259-5;BR NB 18 Kaiserallee, KA;22.05.2013 16:35;781;;7.17;;;;14.1;0.06;13;;;115.1;42.1;0.9;;0.15;22.8;4;;5.5;;79;3.41;;7.4
0990/259-5;BR NB 18 Kaiserallee, KA;04.09.2013 11:15;770;708;7.14;1.9;19;;14.6;;;;;;;;;;;5.3;;;;;;;
0990/259-5;BR NB 18 Kaiserallee, KA;03.09.2014 10:00;795;649;7.18;1.2;12;;14.3;;;;0.01;;;;;;;4.1;;;;;;;
0990/259-5;BR NB 18 Kaiserallee, KA;18.12.2014 12:15;742;619;7.14;;;;14.1;;;;;;;;;;;;;;;;;;
0990/259-5;BR NB 18 Kaiserallee, KA;02.09.2015 12:33;806;714;7.04;0.1;;;14.4;;;;;;;;;;;3.9;;;;;;;
0990/259-5;BR NB 18 Kaiserallee, KA;21.09.2016 11:15;712;701;7.1;;;;14.5;;;;;;;;;;;3.1;;;;;;;
0990/259-5;BR NB 18 Kaiserallee, KA;11.09.2017 17:00;829;647;7.32;;;;14.1;;;;;;;;;;;2.6;;;;;;;
0990/259-5;BR NB 18 Kaiserallee, KA;04.09.2018 15:20;798;677;7.22;;1;;14.1;;;;;;;;;;;2.6;;;;;;;
0990/259-5;BR NB 18 Kaiserallee, KA;13.11.2018 18:15;810;629;7.13;0.3;3;;14.6;0.07;11.7;;;115.6;45.3;1;;0.14;25.1;2.3;;5;;62;3.37;;7.9
0990/259-5;BR NB 18 Kaiserallee, KA;12.09.2019 13:44;821;648;7.17;;;;14.4;;;;;;;;;;;1.8;;;;;;;
0706/260-5;BR NB 22 Eichelgarten, KA-Rüppurr;12.10.2006 13:20;398;721;7.02;3.8;36.4;;13;;;;;;;;;;;34.3;;;;;;;
0706/260-5;BR NB 22 Eichelgarten, KA-Rüppurr;14.02.2007 12:12;381;713;7.19;3.7;36;;13.4;0.08;13.8;0.02;;138;32.6;0.72;0.12;0.02;16.4;35.5;;5.9;;49.6;4.02;0.15;1.39
0706/260-5;BR NB 22 Eichelgarten, KA-Rüppurr;01.09.2009 13:25;392;728;7;3.9;38;;13.5;;;;;;;;;;;32.7;;;;;;;
0706/260-5;BR NB 22 Eichelgarten, KA-Rüppurr;01.07.2010 16:05;370;692;6.95;3.9;38;;13.7;0.1;13.8;;;132.9;36.6;0.6;;;16;34.5;;6.3;;51;3.88;;1.5
0706/260-5;BR NB 22 Eichelgarten, KA-Rüppurr;15.09.2011 15:29;395;708;7.1;3.7;37;;13.2;;14;;;137;34.8;;;;17;32.9;;6.44;;46.8;3.99;;1.5
0706/260-5;BR NB 22 Eichelgarten, KA-Rüppurr;11.09.2013 10:29;358;721;7.01;4;38.2;;13.2;;14.2;;;133;35.8;;;;16.4;31;;6.27;;48.8;3.9;;1.5
0706/260-5;BR NB 22 Eichelgarten, KA-Rüppurr;04.11.2014 10:44;394;700;7.06;3.6;35;;13.5;0.07;13.6;;0.01;131;36.3;0.5;;;16.2;27.5;;6.2;;46;3.83;;1.4
0706/260-5;BR NB 22 Eichelgarten, KA-Rüppurr;27.09.2016 13:15;388;705;7.1;3.2;30.9;;13.5;;;;;;;;;;;23;;;;;;;
0706/260-5;BR NB 22 Eichelgarten, KA-Rüppurr;03.09.2018 08:25;404;682;7.07;2.7;27;;13.5;;13;;;132;34.3;;;;16;21.8;;6.1;;46.2;3.83;;1.2
0706/260-5;BR NB 22 Eichelgarten, KA-Rüppurr;12.11.2018 12:38;425;669;6.98;3.2;31;;13.7;0.08;13.5;;;138.5;32.9;0.9;;;16.4;23.3;;6.1;;44;4.01;;1.5
0993/259-1;BR NB 24 Virginiastraße, KA;10.10.2006 10:59;746;796;7.12;0.2;2;;12.3;;;;0.02;;;;;;;;;;;;;;
0993/259-1;BR NB 24 Virginiastraße, KA;10.09.2007 15:50;710;;7.26;1.8;17;;12.4;;;;0.04;;;;;;;;;;;;;;
0993/259-1;BR NB 24 Virginiastraße, KA;03.09.2008 12:35;715;764;7.24;2.2;21;;13;;;;0.04;;;;;;;0.7;;;;;;;
0993/259-1;BR NB 24 Virginiastraße, KA;23.06.2009 10:20;707;796;7.17;0.2;1.8;;12.3;;12.8;;0.04;133.8;40.4;0.8;11;0.17;25;;0.02;5.9;;104;3.86;65.53;12.4
0993/259-1;BR NB 24 Virginiastraße, KA;02.09.2009 14:30;715;799;7.21;;;;12.2;;13.2;0.01;0.03;135;41;;;;26.2;;0.029;6.27;;104;3.91;;12
0993/259-1;BR NB 24 Virginiastraße, KA;16.03.2010 09:40;713;783;7.14;;;;12;;;;0.03;;;;;;;;;;;;;;
0993/259-1;BR NB 24 Virginiastraße, KA;21.09.2010 14:04;710;797;7.23;1;10;;13.2;;;;0.03;;;;;;;;;;;;;;
0993/259-1;BR NB 24 Virginiastraße, KA;12.09.2011 13:20;710;820;7.27;1.4;14;;13.2;;13.8;;0.03;137.3;45.2;1.1;6;0.18;26.6;;;6.2;;105;3.99;;12.6
0993/259-1;BR NB 24 Virginiastraße, KA;03.09.2012 10:03;733;803;7.27;0.5;;;12.4;;;;0.06;;;;;;;;;;;;;;
0993/259-1;BR NB 24 Virginiastraße, KA;04.09.2013 13:00;670;823;;1.3;13;;13.2;;;;0.04;;;;;;;;;;;;;;
0993/259-1;BR NB 24 Virginiastraße, KA;10.03.2014 11:55;665;819;7.14;1;10;;12.8;;13;;0.04;140.3;54.3;1;6;0.14;26.2;;;6;;98;4.04;;11.5
0993/259-1;BR NB 24 Virginiastraße, KA;03.09.2014 08:50;700;818;7.12;1;9;;12.6;;;;0.04;;;;;;;;;;;;;;
0993/259-1;BR NB 24 Virginiastraße, KA;23.09.2015 17:11;723;799;7.13;;;;12.8;;;;0.03;;;;;;;;;;;;;;
0993/259-1;BR NB 24 Virginiastraße, KA;13.09.2016 13:30;717;792;7.2;0.1;1;;12.8;;;;0.04;;;;;;;;;;;;;;
0993/259-1;BR NB 24 Virginiastraße, KA;26.09.2017 10:20;762;810;7.2;0.1;1;;12.3;;;;0.02;;;;;;;;;;;;;;
0993/259-1;BR NB 24 Virginiastraße, KA;05.09.2018 13:40;732;850;;;1;;12.6;;;;0.05;;;;;;;;;;;;;;
0993/259-1;BR NB 24 Virginiastraße, KA;13.11.2018 15:50;750;793;7.09;0.2;2;;12.8;;13.3;;0.03;147.5;62.5;1.2;6;0.14;33.2;;;6;;89;4.23;;12.9
0993/259-1;BR NB 24 Virginiastraße, KA;12.09.2019 10:54;772;853;7.04;;;;12.5;;;;0.02;;;;;;;;;;;;;;
0300/260-3;BR NB 38 Main/Feldbergstraße, KA-Weiherfeld;09.10.2006 10:50;391;740;7.1;1.9;17.7;;12.2;;;;0.04;;;;;;;29.1;;;;;;;
0300/260-3;BR NB 38 Main/Feldbergstraße, KA-Weiherfeld;12.02.2007 08:40;;671;;0.3;3;;12.8;0.05;12.4;;0.05;116;26.7;1.3;;;15.1;27.1;0.006;5.24;;73.8;3.4;0.1;9.09
0300/260-3;BR NB 38 Main/Feldbergstraße, KA-Weiherfeld;02.09.2009 14:23;;630;7.21;0.4;3;;12.5;;;;;;;;;;;30.1;;;;;;;
0300/260-3;BR NB 38 Main/Feldbergstraße, KA-Weiherfeld;01.07.2010 17:30;;;7.06;0.3;3;;12.7;0.08;11.3;;0.05;109.9;30.3;1.1;;;15;25.2;0.009;5.3;;49;3.21;0.46;8.6
0300/260-3;BR NB 38 Main/Feldbergstraße, KA-Weiherfeld;15.09.2011 11:00;404;617;7.2;0.2;2;;12.1;;11;;0.03;112;27;;;;15;23.6;;5.33;;44.7;3.25;;8.6
0300/260-3;BR NB 38 Main/Feldbergstraße, KA-Weiherfeld;11.09.2013 11:41;383;629;7.15;;;;12.2;;11.6;;0.07;112;25.6;;;;14.3;18;;5.37;;56;3.27;;8.2
0300/260-3;BR NB 38 Main/Feldbergstraße, KA-Weiherfeld;04.11.2014 13:04;400;618;7.17;0.2;2;;12.5;0.05;11.2;;0.04;108.8;26;1.1;;;14;24.4;;5.4;;51;3.18;;8
0300/260-3;BR NB 38 Main/Feldbergstraße, KA-Weiherfeld;11.03.2015 16:31;372;605;7.15;0.2;2;;12.6;;;;0.04;;;;;;;24;;;;;;;
0300/260-3;BR NB 38 Main/Feldbergstraße, KA-Weiherfeld;27.09.2016 11:45;408;623;7.2;;;;13.2;;;;;;;;;;;23;;;;;;;
0300/260-3;BR NB 38 Main/Feldbergstraße, KA-Weiherfeld;03.09.2018 10:40;409;605;7.15;;;;12.6;;10.6;;;113;26.9;;;;14.1;20.2;;5.2;;46.9;3.26;;7.4
0300/260-3;BR NB 38 Main/Feldbergstraße, KA-Weiherfeld;12.11.2018 14:11;423;600;7.08;0.3;3;;13;0.06;11.4;;;118.9;28.7;1.5;;0.02;14.6;21.1;;5.3;;42;3.44;;8.3
0300/260-3;BR NB 38 Main/Feldbergstraße, KA-Weiherfeld;10.09.2019 13:08;427;647;7.03;;;;12.8;;;;;;;;;;;20.3;;;;;;;
0302/260-4;BR NB 40 Frauenalberstraße, KA-Rüppurr;09.10.2006 12:03;465;;6.91;3.6;34.1;;12.6;;;;;;;;;;;34.1;;;;;;;
